"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2014","627.40","624.53","628.38","623.46","","0.95%"
"10/02/2014","621.51","635.67","635.67","621.51","","-2.40%"
"10/01/2014","636.81","641.44","643.22","635.54","","-0.83%"
"09/30/2014","642.13","639.92","643.51","638.63","","0.61%"
"09/29/2014","638.22","640.63","641.55","634.66","","-0.37%"
"09/26/2014","640.62","639.05","642.03","635.78","","0.25%"
"09/25/2014","639.01","644.53","647.62","637.44","","-0.85%"
"09/24/2014","644.46","640.57","644.59","637.61","","0.73%"
"09/23/2014","639.81","648.08","648.08","638.50","","-1.37%"
"09/22/2014","648.71","650.29","650.96","648.10","","-0.51%"
"09/19/2014","652.02","654.60","656.38","652.02","","0.22%"
"09/18/2014","650.60","645.52","651.21","645.52","","0.99%"
"09/17/2014","644.25","643.80","645.64","643.65","","0.45%"
"09/16/2014","641.35","642.66","642.66","638.65","","-0.31%"
"09/15/2014","643.36","642.78","644.91","641.24","","-0.10%"
"09/12/2014","644.02","645.23","645.71","643.01","","0.00%"
"09/11/2014","644.01","646.91","647.59","641.13","","-0.12%"
"09/10/2014","644.81","644.42","644.95","641.11","","-0.04%"
"09/09/2014","645.10","646.68","648.58","644.69","","-0.35%"
"09/08/2014","647.37","648.38","648.38","643.91","","-0.43%"
"09/05/2014","650.14","651.83","652.07","648.07","","-0.38%"
"09/04/2014","652.61","644.36","653.60","643.65","","1.14%"
"09/03/2014","645.24","640.33","648.02","640.33","","0.67%"
"09/02/2014","640.94","641.69","643.90","639.71","","-0.03%"
"09/01/2014","641.15","640.31","642.10","638.54","","0.25%"
"08/29/2014","639.53","638.79","640.89","634.95","","0.28%"
"08/28/2014","637.75","641.49","641.49","636.45","","-0.67%"
"08/27/2014","642.02","641.35","643.26","640.66","","0.12%"
"08/26/2014","641.25","636.67","641.42","635.54","","0.74%"
"08/25/2014","636.57","632.65","636.57","632.65","","1.10%"
"08/22/2014","629.64","631.07","631.77","626.85","","-0.22%"
"08/21/2014","631.04","626.56","631.24","625.91","","0.66%"
"08/20/2014","626.90","626.94","627.67","624.72","","-0.01%"
"08/19/2014","626.95","624.72","627.23","624.72","","0.57%"
"08/18/2014","623.42","619.69","624.00","619.69","","1.18%"
"08/15/2014","616.16","619.62","624.04","616.03","","-0.40%"
"08/14/2014","618.63","616.08","619.65","614.57","","0.31%"
"08/13/2014","616.72","615.11","617.84","614.68","","0.48%"
"08/12/2014","613.76","614.70","616.48","612.67","","-0.19%"
"08/11/2014","614.91","608.87","615.76","608.87","","1.37%"
"08/08/2014","606.60","607.24","609.04","601.91","","-0.63%"
"08/07/2014","610.43","614.35","615.97","609.85","","-0.68%"
"08/06/2014","614.59","618.12","618.12","610.02","","-0.80%"
"08/05/2014","619.53","619.32","622.58","618.02","","0.28%"
"08/04/2014","617.77","620.57","621.21","616.79","","-0.23%"
"08/01/2014","619.17","626.42","626.42","617.37","","-1.21%"
"07/31/2014","626.78","635.57","636.18","625.62","","-1.31%"
"07/30/2014","635.08","638.08","640.06","633.93","","-0.53%"
"07/29/2014","638.49","637.18","640.78","635.73","","0.27%"
"07/28/2014","636.74","638.85","639.65","633.72","","-0.18%"
"07/25/2014","637.88","641.69","643.30","636.81","","-0.69%"
"07/24/2014","642.32","639.79","643.22","637.26","","0.43%"
"07/23/2014","639.57","637.91","641.55","637.23","","0.13%"
"07/22/2014","638.72","631.98","638.94","631.98","","1.33%"
"07/21/2014","630.35","633.50","633.71","629.22","","-0.50%"
"07/18/2014","633.54","632.38","633.69","628.87","","-0.02%"
"07/17/2014","633.69","638.42","638.42","633.29","","-0.94%"
"07/16/2014","639.71","632.52","640.07","632.52","","1.35%"
"07/15/2014","631.17","633.13","634.57","630.81","","-0.39%"
"07/14/2014","633.61","629.06","634.53","629.06","","0.86%"
"07/11/2014","628.23","628.01","630.36","625.94","","0.16%"
"07/10/2014","627.22","633.79","633.79","623.89","","-1.05%"
"07/09/2014","633.89","634.56","635.20","631.40","","0.00%"
